B
300
319 534
121 25.0 10.0
122 25.0 9.0
123 24.0 9.0
124 27.0 8.0
125 28.0 7.0
126 27.0 7.0
127 28.0 6.0
128 26.0 7.0
129 16.0 1.0
130 17.0 1.0
131 26.0 8.0
132 19.0 10.0
133 20.0 10.0
134 18.0 12.0
135 18.0 13.0
136 18.0 15.0
137 19.0 15.0
138 22.0 15.0
139 23.0 15.0
140 25.0 1.0
141 25.0 2.0
142 24.0 2.0
143 24.0 3.0
144 15.0 16.0
145 16.0 16.0
146 11.0 3.0
147 12.0 3.0
148 26.0 5.0
149 26.0 6.0
150 12.0 0.0
151 13.0 0.0
152 13.0 3.0
153 27.0 5.0
154 27.0 6.0
155 21.0 8.0
156 22.0 8.0
157 27.0 10.0
158 25.0 8.0
159 18.0 3.0
160 18.0 4.0
161 25.0 0.0
162 26.0 0.0
163 21.0 6.0
164 21.0 7.0
165 22.0 4.0
166 22.0 5.0
167 26.0 2.0
168 26.0 3.0
169 22.0 6.0
170 19.0 11.0
171 20.0 11.0
172 24.0 7.0
173 24.0 8.0
174 28.0 2.0
175 28.0 3.0
176 24.0 13.0
177 24.0 14.0
178 23.0 16.0
179 24.0 16.0
180 11.0 10.0
181 12.0 10.0
182 11.0 4.0
183 12.0 4.0
184 11.0 2.0
185 22.0 12.0
186 23.0 12.0
187 20.0 15.0
188 12.0 1.0
189 21.0 5.0
190 25.0 7.0
191 10.0 11.0
192 10.0 12.0
193 20.0 13.0
194 21.0 13.0
195 17.0 0.0
196 18.0 0.0
197 23.0 13.0
198 16.0 14.0
199 16.0 15.0
200 13.0 4.0
201 26.0 1.0
202 20.0 12.0
203 21.0 12.0
204 29.0 24.0
205 18.0 10.0
206 18.0 11.0
207 14.0 0.0
208 14.0 1.0
209 11.0 11.0
210 11.0 12.0
211 28.0 23.0
212 28.0 24.0
213 17.0 13.0
214 17.0 14.0
215 19.0 1.0
216 19.0 2.0
217 14.0 2.0
218 12.0 11.0
219 12.0 12.0
220 22.0 13.0
221 21.0 16.0
222 25.0 3.0
223 25.0 4.0
224 13.0 1.0
225 19.0 0.0
226 20.0 0.0
227 17.0 2.0
228 27.0 0.0
229 28.0 0.0
230 12.0 2.0
231 13.0 2.0
232 22.0 7.0
233 10.0 3.0
234 11.0 0.0
235 11.0 1.0
236 28.0 5.0
237 10.0 4.0
238 17.0 16.0
239 10.0 0.0
240 20.0 2.0
241 20.0 3.0
242 16.0 17.0
243 24.0 4.0
244 10.0 1.0
245 19.0 4.0
246 10.0 10.0
247 19.0 3.0
248 17.0 15.0
249 20.0 7.0
250 18.0 14.0
251 27.0 1.0
252 22.0 9.0
253 22.0 10.0
254 14.0 3.0
255 14.0 4.0
256 24.0 5.0
257 18.0 16.0
258 10.0 2.0
259 22.0 14.0
260 24.0 1.0
261 19.0 16.0
262 30.0 25.0
263 27.0 3.0
264 27.0 4.0
265 20.0 8.0
266 23.0 14.0
267 18.0 2.0
268 24.0 0.0
269 24.0 15.0
270 19.0 14.0
271 20.0 4.0
272 21.0 4.0
273 16.0 0.0
274 16.0 2.0
275 18.0 1.0
276 26.0 4.0
277 20.0 1.0
278 19.0 12.0
279 20.0 5.0
280 20.0 6.0
281 20.0 14.0
282 27.0 2.0
283 23.0 4.0
284 23.0 5.0
285 23.0 6.0
286 16.0 12.0
287 17.0 12.0
288 24.0 6.0
289 16.0 13.0
290 23.0 10.0
291 23.0 8.0
292 23.0 9.0
293 28.0 1.0
294 21.0 14.0
295 28.0 4.0
296 25.0 6.0
297 32.0 26.0
298 24.0 24.0
299 26.0 24.0
300 26.0 14.0
301 32.0 6.0
302 32.0 4.0
303 30.0 6.0
304 30.0 4.0
305 8.0 10.0
306 12.0 6.0
307 12.0 8.0
308 14.0 8.0
309 16.0 8.0
310 10.0 6.0
311 16.0 4.0
312 16.0 6.0
313 18.0 8.0
314 10.0 8.0
315 16.0 10.0
316 8.0 8.0
317 14.0 6.0
318 26.0 26.0
319 12.0 16.0
314 316 2
312 317 2
311 312 2
310 314 2
309 312 2
309 315 2
309 313 2
308 317 2
308 309 2
307 314 2
307 308 2
306 317 2
306 310 2
306 307 2
303 304 2
301 303 2
301 302 2
299 318 2
298 299 2
295 304 2
291 292 1
290 292 1
288 296 1
286 315 2
286 289 1
286 287 1
285 288 1
284 285 1
283 284 1
281 294 1
279 280 1
274 311 2
271 279 1
271 272 1
270 281 1
267 275 1
265 313 2
264 295 1
264 276 1
263 282 1
263 264 1
260 268 1
259 266 1
259 294 1
126 154 1
126 128 1
125 127 1
125 126 1
124 131 1
124 126 1
123 292 1
123 173 1
122 158 1
122 123 1
121 122 1
120 123 1
120 290 1
120 121 1
119 120 1
118 119 1
118 121 1
117 186 1
117 176 1
117 119 1
116 157 1
116 121 1
115 300 2
114 118 1
114 117 1
114 115 1
113 131 1
113 122 1
113 116 1
112 124 1
112 157 1
112 113 1
111 118 1
111 116 1
111 115 1
110 157 1
108 157 1
108 111 1
107 110 1
107 108 1
106 115 1
106 108 1
104 125 1
104 124 1
104 105 1
103 104 1
103 112 1
103 110 1
102 110 1
101 105 1
101 103 1
101 102 1
100 303 2
100 105 1
99 102 1
99 107 1
97 102 1
96 97 1
96 101 1
96 100 1
95 100 1
94 301 2
94 95 1
93 94 1
92 95 1
92 96 1
92 93 1
91 97 1
91 92 1
90 99 1
90 97 1
89 90 1
88 93 1
88 91 1
87 98 1
87 88 1
86 91 1
86 90 1
86 87 1
84 107 1
84 106 1
83 89 1
83 99 1
83 84 1
82 84 1
81 300 2
81 82 1
80 89 1
79 83 1
79 82 1
79 80 1
78 79 1
78 81 1
77 98 1
77 86 1
77 89 1
76 98 1
75 80 1
75 77 1
75 76 1
74 80 1
74 78 1
73 75 1
73 74 1
72 74 1
71 72 1
71 73 1
70 71 1
69 72 1
69 70 1
68 73 1
68 76 1
67 70 1
66 71 1
66 68 1
66 67 1
64 187 1
64 221 1
64 261 1
63 64 1
62 63 1
61 178 1
61 221 1
61 138 1
60 61 1
29 32 1
29 85 1
28 211 1
28 49 1
28 29 1
27 32 1
27 30 1
27 28 1
26 85 1
25 44 1
25 40 1
25 26 1
24 85 1
23 26 1
23 24 1
22 23 1
22 25 1
21 69 2
21 22 1
20 23 1
20 21 1
19 20 1
18 19 1
18 21 1
17 67 2
17 18 1
16 19 1
16 17 1
15 211 1
15 49 1
15 204 1
14 20 1
14 24 1
127 303 2
127 154 1
127 236 1
1 3 1
1 5 1
1 2 1
249 265 1
249 280 1
2 297 2
2 4 1
3 7 1
3 6 1
3 4 1
250 270 1
4 109 1
251 293 1
251 282 1
5 262 1
5 204 1
5 6 1
252 292 1
252 253 1
6 12 1
6 15 1
253 290 1
7 109 1
7 12 1
7 10 1
254 255 1
8 13 1
8 16 1
8 9 1
255 317 2
255 311 2
9 109 1
9 10 1
256 288 1
256 284 1
10 13 1
10 11 1
257 261 1
11 14 1
11 12 1
12 49 1
13 14 1
13 19 1
30 299 2
30 37 1
30 31 1
31 33 1
31 38 1
31 32 1
32 34 1
33 43 2
33 35 1
33 34 1
34 85 1
36 37 1
37 38 1
39 44 1
39 42 1
39 45 1
39 40 1
40 41 1
41 69 2
41 81 2
41 42 1
42 46 1
43 53 2
43 45 1
43 44 1
45 46 1
46 300 2
46 179 2
47 56 1
47 52 1
47 50 1
47 48 1
50 51 1
51 53 1
51 52 1
52 54 1
52 55 1
53 179 2
53 54 1
54 58 1
55 58 1
55 65 1
55 56 1
57 65 1
57 59 1
57 62 1
57 58 1
58 60 1
59 63 1
59 221 1
59 60 1
128 131 1
128 190 1
128 149 1
129 274 1
129 273 1
129 130 1
130 275 1
130 195 1
130 227 1
131 158 1
132 205 1
132 170 1
132 133 1
133 253 2
133 265 2
133 171 1
134 287 1
134 278 1
134 206 1
134 135 1
135 213 1
135 250 1
136 248 1
136 250 1
136 257 1
136 137 1
137 261 1
137 270 1
137 187 1
138 259 1
138 139 1
139 266 1
139 269 1
139 178 1
140 260 1
140 201 1
140 161 1
140 141 1
141 222 1
141 167 1
141 142 1
142 260 1
142 143 1
143 222 1
143 243 1
144 145 1
145 199 1
145 242 1
145 238 1
146 182 1
146 233 1
146 184 1
146 147 1
147 230 1
147 183 1
147 152 1
148 276 1
148 153 1
148 149 1
149 154 1
149 296 1
150 234 1
150 188 1
150 151 1
151 207 1
151 224 1
152 254 1
152 231 1
152 200 1
153 264 1
153 236 1
153 154 1
155 265 1
155 164 1
155 156 1
156 291 1
156 232 1
156 252 1
158 173 1
158 190 1
159 267 1
159 247 1
159 160 1
160 311 2
160 245 1
161 268 1
161 162 1
162 228 1
162 201 1
163 280 1
163 169 1
163 189 1
163 164 1
164 232 1
164 249 1
165 283 1
165 272 1
165 166 1
166 284 1
166 189 1
166 169 1
167 282 1
167 201 1
167 168 1
168 263 1
168 276 1
168 222 1
169 285 1
169 232 1
170 278 1
170 206 1
170 171 1
171 202 1
172 288 1
172 190 1
172 173 1
173 291 1
174 282 1
174 175 1
175 295 1
175 263 1
176 197 1
176 177 1
177 300 2
177 269 1
177 266 1
178 179 1
179 269 1
180 209 1
180 246 1
180 181 1
181 307 2
181 218 1
182 237 1
182 183 1
183 306 2
183 200 1
184 258 1
184 235 1
184 230 1
185 220 1
185 253 2
185 203 1
185 186 1
186 197 1
187 281 1
188 224 1
188 235 1
188 230 1
189 279 1
189 272 1
190 296 1
191 209 1
191 246 1
191 192 1
192 210 1
193 281 1
193 202 1
193 194 1
194 220 1
194 294 1
194 203 1
195 273 1
195 196 1
196 275 1
196 225 1
197 266 1
197 220 1
198 214 1
198 289 1
198 199 1
199 248 1
200 255 1
201 251 1
202 203 1
202 278 1
205 315 2
205 313 2
205 206 1
207 273 2
207 208 1
208 224 1
208 217 1
209 218 1
209 210 1
210 219 1
211 212 1
212 299 2
213 289 1
213 287 1
213 214 1
214 248 1
214 250 1
215 277 1
215 275 1
215 225 1
215 216 1
216 247 1
216 240 1
216 267 1
217 274 2
217 254 1
217 231 1
218 219 1
219 319 4
219 286 4
220 259 1
222 223 1
223 276 1
223 243 1
224 231 1
225 226 1
226 268 4
226 277 1
227 267 1
227 274 1
228 251 1
228 229 1
230 231 1
234 239 1
234 235 1
235 244 1
236 295 1
238 257 1
238 248 1
240 277 1
240 241 1
241 271 1
241 247 1
243 283 1
243 256 1
245 271 1
245 247 1
246 314 2
246 305 2
1
182 48 1 1
1000
1 1 732 135 0.9102482373465361 0.0928797674022966 0
10 18 0 19 706338.0 46 823792.0 72 830795.0 99 890507.0 125 833561.0 152 1071039.0 178 1334131.0 205 1867330.0 206 0
0
2 1 1182 253 0.9102467540356661 0.11252360383081839 0
12 46 0 47 632798.0 73 549826.0 99 947103.0 126 1008834.0 152 1264658.0 178 1936155.0 204 1402013.0 231 717371.0 257 901981.0 283 887790.0 284 0
0
3 1 574 300 0.9180261008371378 0.007102872233839902 0
15 0 0 1 557198.0 26 595727.0 51 702548.0 76 754789.0 101 1160065.0 126 1121109.0 151 1289445.0 175 1271070.0 200 1864299.0 225 2054581.0 250 2371237.0 275 2216543.0 300 2297308.0 301 0
1 2
4 1 994 137 0.9132001180327742 0.07098087649651881 0
12 78 0 79 1183962.0 103 1722926.0 127 2116500.0 150 1195118.0 174 1972790.0 198 1702732.0 222 831730.0 245 762425.0 269 607997.0 293 751363.0 294 0
0
5 1 1400 13 0.9234716744456577 0.11545513384658995 0
12 63 0 64 480924.0 90 877977.0 116 908884.0 142 1131998.0 168 1143531.0 193 753281.0 219 830820.0 245 1586473.0 271 2675221.0 297 2847572.0 298 0
0
6 1 501 309 0.9104301716985025 0.10243499237886512 0
11 36 0 37 2032277.0 63 1825281.0 90 1932989.0 116 2765781.0 143 2822519.0 169 1469722.0 195 1523866.0 222 1609297.0 248 962087.0 249 0
1 5
7 1 1074 258 0.9262834856128609 0.111721572484643 0
12 5 0 6 937958.0 30 658223.0 54 1353836.0 78 2039671.0 102 2121350.0 125 1901365.0 149 1504201.0 173 2027734.0 197 1683324.0 221 1584094.0 222 0
1 6
8 1 1145 219 0.9229419461296737 0.043179711400806696 0
12 82 0 83 4591464.0 107 1787610.0 131 1737577.0 155 1637423.0 179 1646914.0 202 780207.0 226 1172144.0 250 1359600.0 274 1252208.0 298 1253619.0 299 0
0
9 1 987 143 0.9226661710107639 0.08752944980287455 0
13 11 0 12 437885.0 37 294351.0 63 788280.0 88 1024196.0 114 1804105.0 139 3004432.0 164 1770516.0 190 1682813.0 215 1384002.0 241 985397.0 266 347215.0 267 0
0
10 1 1103 48 0.9106287393678024 0.11158523382763912 0
7 83 0 84 1326096.0 110 1461131.0 137 2343968.0 163 1502629.0 189 589244.0 190 0
1 9
11 1 1457 156 0.9131803365554295 0.035175957212485995 0
15 11 0 12 2693264.0 36 1425991.0 60 1221967.0 84 1182125.0 108 931399.0 132 1060472.0 156 955274.0 180 1700458.0 204 2346647.0 228 1923336.0 252 1790697.0 276 1352615.0 300 1962217.0 301 0
0
12 1 1090 15 0.9167877902338157 0.0717050570043966 0
9 96 0 97 1312252.0 122 2073253.0 147 1432633.0 173 783882.0 198 940579.0 223 728237.0 248 589746.0 249 0
1 11
13 1 659 256 0.9217982108360473 0.14827662689962226 0
14 15 0 16 3094255.0 40 3654937.0 65 2432729.0 89 1623481.0 113 2442551.0 138 1538880.0 162 1191136.0 187 1256164.0 211 950056.0 235 737728.0 260 555806.0 284 415556.0 285 0
0
14 1 1294 61 0.921389548190805 0.10057664306063206 0
9 129 0 130 1082954.0 156 1022205.0 182 1338141.0 209 1117453.0 235 1177868.0 261 909518.0 287 1503410.0 288 0
1 13
15 1 780 13 0.9269276094447892 0.07910234960775749 0
13 6 0 7 1252562.0 31 2347496.0 54 2982773.0 78 2790843.0 102 2340342.0 125 1502182.0 149 1199605.0 173 881438.0 197 716635.0 220 775695.0 244 1299608.0 245 0
0
16 1 1303 31 0.9137611315465847 0.10115715328414031 0
8 95 0 96 1864961.0 123 1648529.0 150 804420.0 177 834615.0 204 837838.0 231 1124929.0 232 0
0
17 1 989 305 0.9268812637891123 0.12434028080470134 0
7 12 0 13 1576795.0 40 1138059.0 67 1613972.0 95 1762120.0 122 1677076.0 123 0
1 16
18 1 1040 103 0.9236451121096871 0.05922781621148657 0
10 68 0 69 1000004.0 93 1302041.0 116 1155702.0 140 1819649.0 163 1446992.0 187 1526307.0 210 2098055.0 234 1363664.0 235 0
0
19 1 855 152 0.9236917399712966 0.10023560842694425 0
7 116 0 117 1910131.0 145 1407820.0 172 2365273.0 199 2125322.0 227 1596039.0 228 0
1 18
20 1 742 153 0.9124040619537087 0.08924996315883763 0
8 13 0 14 2453980.0 40 1761273.0 66 1612751.0 91 2132759.0 117 1895158.0 143 1208707.0 144 0
0
21 1 1405 177 0.9286654828101403 0.01784057526318229 0
14 5 0 6 160285.0 30 217301.0 54 291849.0 78 393259.0 102 914879.0 126 1304999.0 150 1158358.0 174 1146572.0 198 1056968.0 222 937496.0 246 1612865.0 270 1916330.0 271 0
1 20
22 1 529 260 0.9259567188326225 0.06979842985324139 0
12 49 0 50 1750321.0 76 2628984.0 102 3119655.0 127 2250436.0 153 1986598.0 179 1222229.0 205 647453.0 230 438041.0 256 318885.0 282 606507.0 283 0
0
23 1 1347 49 0.9245933787264191 0.1274462692573979 0
12 42 0 43 2915668.0 67 2367309.0 92 2433814.0 116 1858140.0 141 1123574.0 165 597120.0 190 621694.0 214 496417.0 239 378187.0 263 394705.0 264 0
0
24 1 1325 233 0.9273201492939219 0.08654139673945273 0
7 75 0 76 2032958.0 103 2486525.0 129 1504698.0 156 1178936.0 183 1277822.0 184 0
2 23 25
25 1 860 6 0.9241703621197029 0.056760993924041464 0
9 126 0 127 2846915.0 154 1612495.0 180 1569745.0 207 2251136.0 234 1274415.0 260 1139122.0 287 1519012.0 288 0
0
26 1 1065 213 0.9275536020105617 0.06255853389012701 0
11 20 0 21 550252.0 45 854900.0 68 791919.0 91 1381492.0 115 1537668.0 139 1130627.0 162 1884296.0 185 2353727.0 209 1730394.0 210 0
0
27 1 1015 75 0.9130859223914315 0.01631166523031704 0
10 84 0 85 2182361.0 109 1904325.0 133 1780912.0 157 1542118.0 182 1498736.0 206 1168530.0 230 1570313.0 254 1698134.0 255 0
2 26 29
28 1 987 9 0.9259360357403053 0.13293386606402108 0
13 25 0 26 1671879.0 50 2281329.0 74 2200478.0 98 1406120.0 122 883296.0 145 1261931.0 169 1023333.0 193 1374431.0 217 1670983.0 241 1374255.0 265 1108453.0 266 0
0
29 1 954 29 0.9216471222187511 0.09671358171051649 0
7 7 0 8 844148.0 35 1098521.0 61 1070173.0 87 1385882.0 114 1656710.0 115 0
1 28
30 1 1406 63 0.9176669480094501 0.10659524845605899 0
10 26 0 27 770477.0 50 786618.0 73 875482.0 96 847475.0 120 1553622.0 143 1651217.0 166 843704.0 189 821799.0 190 0
0
31 1 1141 272 0.9162113131800066 0.10364400425107705 0
15 0 0 1 444170.0 25 626770.0 50 444255.0 74 395684.0 99 333228.0 123 450584.0 147 701565.0 172 935136.0 196 854704.0 221 1185352.0 245 1513083.0 270 2096639.0 294 2518135.0 295 0
1 30
32 1 1308 221 0.9168291204759896 0.08842607983275216 0
9 9 0 10 1031039.0 35 867603.0 60 872427.0 85 1020670.0 109 1622302.0 134 2058697.0 159 1320277.0 160 0
1 31
33 1 1275 269 0.9122047684325976 0.07779496726516265 0
10 2 0 3 1173160.0 28 1611108.0 54 1475744.0 79 1086620.0 105 1213507.0 130 1537203.0 156 1244850.0 181 1846875.0 182 0
0
34 1 1386 256 0.910101992644242 0.10639306843814005 0
12 60 0 61 863856.0 87 1035642.0 113 743268.0 140 892811.0 166 1228138.0 192 1384314.0 218 1645685.0 245 1874242.0 271 1711183.0 297 1501598.0 298 0
1 33
35 1 841 71 0.9186917988908676 0.1160171810226255 0
9 80 0 81 1328777.0 106 1419093.0 131 1298313.0 155 1293282.0 180 2215812.0 205 2341391.0 230 2751903.0 231 0
1 34
36 1 862 5 0.921895853508438 0.10490995585644312 0
13 18 0 19 4114162.0 45 2012950.0 71 1191275.0 97 956244.0 123 798143.0 149 901938.0 175 832043.0 201 1088323.0 227 1272425.0 253 1041046.0 279 1287954.0 280 0
0
37 1 1429 1 0.9132364169283528 0.01230593388495153 0
14 5 0 6 514137.0 30 254041.0 54 354627.0 78 329857.0 102 423975.0 126 746469.0 149 1572611.0 173 1793903.0 197 1653190.0 221 1871765.0 245 3201399.0 269 2849396.0 270 0
0
38 1 1449 293 0.9150976616537775 0.07373225149057887 0
14 2 0 3 1329015.0 29 1173593.0 54 1164757.0 80 1184558.0 106 875605.0 131 605369.0 157 839178.0 182 1206478.0 208 930628.0 234 1607285.0 259 915316.0 285 731154.0 286 0
1 37
39 1 1217 233 0.9130141544042661 0.02310119174919047 0
13 39 0 40 3424174.0 66 2749569.0 92 2068879.0 117 1986257.0 143 1863604.0 169 2350643.0 195 1765762.0 221 995000.0 246 792015.0 272 934248.0 298 1101140.0 299 0
0
40 1 725 46 0.928029282125267 0.0684755847136616 0
7 166 0 167 779792.0 193 1056976.0 218 872697.0 243 1202922.0 269 1423901.0 270 0
1 39
41 1 676 295 0.9259547422265882 0.016862674235800262 0
13 19 0 20 716993.0 46 764707.0 71 555414.0 97 605392.0 123 1146432.0 149 750908.0 174 530005.0 200 756328.0 226 1852619.0 251 1566369.0 277 864776.0 278 0
0
42 1 509 238 0.9212089505803982 0.1026151796494618 0
15 4 0 5 3134947.0 29 3137017.0 53 2799928.0 78 1826834.0 102 1636056.0 126 1259156.0 151 1278464.0 175 1255906.0 199 1478755.0 223 1412826.0 247 1262660.0 272 1749392.0 296 1202886.0 297 0
0
43 1 814 138 0.9236487774769317 0.07055497616173542 0
12 30 0 31 803788.0 56 793875.0 80 1149724.0 105 1087738.0 129 1858077.0 154 1870728.0 178 1976259.0 203 2517120.0 227 1831594.0 252 1702277.0 253 0
1 42
44 1 777 142 0.919094152853261 0.1274782452124954 0
13 56 0 57 2242054.0 81 1028749.0 106 836290.0 130 661548.0 154 613517.0 179 697172.0 203 963942.0 227 1641705.0 251 1749194.0 276 1871765.0 300 2611343.0 301 0
2 42 45
45 1 1458 215 0.9257406984375716 0.06668547496981711 0
11 9 0 10 384450.0 35 375436.0 61 523193.0 86 610796.0 111 609415.0 137 619804.0 162 1258529.0 188 1699622.0 213 2589872.0 214 0
0
46 1 1228 303 0.9124222063259269 0.14546977338129444 0
10 48 0 49 1518328.0 76 1302794.0 102 1374050.0 129 993439.0 155 1355096.0 182 1949332.0 208 1513992.0 235 1294051.0 236 0
0
47 1 946 158 0.9125405951005384 0.08932152396023439 0
13 46 0 47 1606609.0 72 2050256.0 97 2691677.0 121 1770630.0 146 1624798.0 171 1668495.0 196 1697001.0 221 1710017.0 245 1270058.0 270 1267895.0 295 1387278.0 296 0
1 46
48 1 1189 234 0.9235463749467426 0.04678553675287947 0
12 7 0 8 1990494.0 32 2574454.0 56 2163412.0 80 1057688.0 104 1086232.0 129 1271638.0 153 690661.0 177 1760383.0 201 1895510.0 225 2951953.0 226 0
1 46
49 1 572 50 0.9287159435807225 0.026804881302756593 0
12 53 0 54 3630463.0 80 1706126.0 106 1026455.0 132 740399.0 158 1162308.0 183 1268140.0 209 1284020.0 235 1708104.0 261 2117126.0 287 1741565.0 288 0
2 46 48
50 1 1212 307 0.9137540087901932 0.03366361343435196 0
14 11 0 12 2102169.0 36 1139472.0 61 1073078.0 85 1350994.0 109 1825467.0 133 2444622.0 158 1402814.0 182 1388056.0 206 1010513.0 230 819205.0 255 935159.0 279 1025867.0 280 0
0
51 1 580 306 0.9231155211426004 0.11828439075768989 0
8 84 0 85 1028819.0 110 1336261.0 135 1832684.0 159 1631135.0 184 1338490.0 209 1355123.0 210 0
1 50
52 1 1204 56 0.9132387100159831 0.08969326647244924 0
10 31 0 32 2760533.0 56 3272413.0 80 2132186.0 104 1660649.0 128 1292843.0 152 871075.0 176 1026097.0 200 1391682.0 201 0
1 50
53 1 1339 180 0.9218802531940197 0.04347016478306157 0
10 41 0 42 1802587.0 66 1095057.0 90 1433862.0 114 1657731.0 139 1457969.0 163 944079.0 187 641070.0 211 754778.0 212 0
0
54 1 1047 312 0.928158621142751 0.0010617484252699483 0
14 2 0 3 924395.0 28 1100565.0 54 616457.0 79 463365.0 105 465743.0 130 352930.0 156 708116.0 181 1151120.0 207 1848145.0 232 1520178.0 258 1145806.0 283 880819.0 284 0
1 53
55 1 974 30 0.9167443236771222 0.045586254677924966 0
13 19 0 20 3516646.0 46 3184966.0 72 1833723.0 97 1677815.0 123 1642718.0 149 885672.0 175 1472767.0 201 1621941.0 226 1646591.0 252 787288.0 278 1047992.0 279 0
0
56 1 727 6 0.9268987873190727 0.07596114981639537 0
8 158 0 159 1666378.0 186 2059648.0 212 1695846.0 239 2025038.0 265 2004197.0 292 1808595.0 293 0
0
57 1 643 313 0.9237792436872301 0.086885450289652 0
7 93 0 94 1500430.0 120 2284794.0 146 1963013.0 172 1252936.0 198 1570927.0 199 0
0
58 1 888 101 0.9163888850054047 0.055866219823071696 0
13 48 0 49 233868.0 74 276296.0 98 305096.0 123 280376.0 147 422964.0 172 667365.0 197 2017404.0 221 2083842.0 246 1228251.0 270 1644608.0 295 1593111.0 296 0
1 57
59 1 773 308 0.9203360544738263 0.08305902620997001 0
14 0 0 1 1542657.0 26 1784476.0 50 1888619.0 75 1576988.0 100 1613253.0 124 1367563.0 149 960220.0 173 958921.0 198 1161837.0 223 1676727.0 247 1151148.0 272 1608313.0 273 0
0
60 1 1240 201 0.9112775357304755 0.0022412189520936154 0
7 36 0 37 2331613.0 64 1295427.0 91 1538942.0 119 1692695.0 146 2278819.0 147 0
1 59
61 1 885 318 0.9282749264940009 0.0946588187655721 0
15 2 0 3 311777.0 27 418297.0 52 889799.0 76 1858393.0 100 2128216.0 125 1329702.0 149 2090339.0 173 1531948.0 198 1058264.0 222 899515.0 246 1345930.0 271 1382904.0 295 2312267.0 296 0
1 60
62 1 882 176 0.9163085003129416 0.06860786200490349 0
10 103 0 104 1630763.0 127 1714465.0 150 1474442.0 173 1536667.0 197 2020783.0 220 915022.0 243 919082.0 266 1010074.0 267 0
0
63 1 1370 314 0.9237088606124583 0.08294261560718656 0
11 22 0 23 2671294.0 47 2491367.0 70 2478489.0 94 1797188.0 117 965779.0 141 1237234.0 165 802883.0 188 1570180.0 212 1502556.0 213 0
1 62
64 1 960 89 0.9279056423900206 0.05474645013436589 0
11 24 0 25 590984.0 49 932485.0 73 1364258.0 98 1947042.0 122 2646019.0 146 2251462.0 171 1542606.0 195 1093845.0 219 1345063.0 220 0
2 62 63
65 1 1466 159 0.9111133827246429 0.14478981982414596 0
15 2 0 3 1371504.0 28 1098783.0 52 1095223.0 77 1462011.0 102 1288894.0 126 1527802.0 151 1209827.0 176 515733.0 200 591911.0 225 508216.0 250 1001067.0 274 660856.0 299 479198.0 300 0
0
66 1 1124 57 0.928843552234052 0.06772519703989387 0
14 22 0 23 2208558.0 47 2024282.0 72 1304232.0 96 1067556.0 121 1045052.0 145 1307290.0 170 957174.0 194 1232983.0 219 1546401.0 243 2387808.0 268 1858187.0 292 2417016.0 293 0
1 65
67 1 1473 124 0.9165623622026693 0.01731030748154122 0
9 86 0 87 466388.0 113 1274460.0 138 1415791.0 163 1612077.0 189 766071.0 215 552010.0 240 478017.0 241 0
1 65
68 1 1326 8 0.9275412849062273 0.024506092677642116 0
